id,name,extracted_category,product_text,cluster
AV-ETMhgYSSHbkXwpNb9,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi + Free Cellular Connectivity",Amazon Devices Tablets & E-Readers E-Readers,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi + Free Cellular Connectivity Amazon Devices Tablets & E-Readers E-Readers",3
AV-EVZITKZqtpbFMSoqc,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers",Amazon Devices Amazon Tablets & E-Readers,"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers Amazon Devices Amazon Tablets & E-Readers",3
AV1YnRtnglJLPUi8IJmV,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,",TVs & Electronics Computers & Laptops Tablets & eReaders,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,, TVs & Electronics Computers & Laptops Tablets & eReaders",3
AVpe7AsMilAPnD_xQ78G,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",mazon.co.uk Amazon Devices,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black mazon.co.uk Amazon Devices",3
AVpfw2hvilAPnD_xh0rH,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case",Electronics iPad & Tablets Tablets for Kids,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case Electronics iPad & Tablets Tablets for Kids",3
AVpfwS_CLJeJML43DH5w,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",Electronics eBook Readers & Accessories eBook Readers,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta Electronics eBook Readers & Accessories eBook Readers",3
AVpg3q4RLJeJML43TxA_,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Kindle E-Reader Accessories Covers Kindle Touch (4th Generation) Covers,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case Kindle E-Reader Accessories Covers Kindle Touch (4th Generation) Covers",3
AVph0EeEilAPnD_x9myq,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",Movies Music Computers & Tablets,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black Movies Music Computers & Tablets",3
AVphPmHuilAPnD_x3E5h,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",See more Amazon Kindle Voyage (Wi-Fi) See more Amazon Kindle Voyage 4GB Wi-Fi  3G (Unlocked...,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers, See more Amazon Kindle Voyage (Wi-Fi) See more Amazon Kindle Voyage 4GB Wi-Fi  3G (Unlocked...",3
AVphgVaX1cnluZ0-DR74,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",iPad & Tablets Android Tablets Frys,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta iPad & Tablets Android Tablets Frys",3
AVpidLjVilAPnD_xEVpI,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Back To College Amazon Devices Tablets & E-Readers,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum Back To College Amazon Devices Tablets & E-Readers",3
AVqVGWLKnnc1JgDc3jF1,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Fire Tablets Computers & Tablets All Tablets,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case Fire Tablets Computers & Tablets All Tablets",3
